N,TopDown,BottomUp,6NlgN
255,8156,8156,12231.36
256,8192,8192,12288.00
257,8232,9220,12344.67
258,8272,9232,12401.38
259,8312,9248,12458.12
260,8352,9264,12514.89
261,8392,9288,12571.70
262,8432,9304,12628.54
263,8472,9324,12685.41
264,8512,9344,12742.32
265,8552,9384,12799.26
266,8592,9400,12856.23
267,8632,9420,12913.23
268,8672,9440,12970.27
269,8712,9468,13027.34
270,8752,9488,13084.44
271,8792,9512,13141.57
272,8832,9536,13198.74
273,8872,9608,13255.94
274,8912,9624,13313.16
275,8952,9644,13370.42
276,8992,9664,13427.72
277,9032,9692,13485.04
278,9072,9712,13542.39
279,9112,9736,13599.78
280,9152,9760,13657.20
281,9192,9804,13714.64
282,9232,9824,13772.12
283,9272,9848,13829.63
284,9312,9872,13887.17
285,9352,9904,13944.74
286,9392,9928,14002.34
287,9432,9956,14059.97
288,9472,9984,14117.63
289,9512,10120,14175.32
290,9552,10136,14233.04
291,9592,10156,14290.79
292,9632,10176,14348.57
293,9672,10204,14406.38
294,9712,10224,14464.22
295,9752,10248,14522.09
296,9792,10272,14579.99
297,9832,10316,14637.92
298,9872,10336,14695.87
299,9912,10360,14753.86
300,9952,10384,14811.87
301,9992,10416,14869.92
302,10032,10440,14927.99
303,10072,10468,14986.09
304,10112,10496,15044.22
305,10152,10572,15102.38
306,10192,10592,15160.56
307,10232,10616,15218.78
308,10272,10640,15277.02
309,10312,10672,15335.29
310,10352,10696,15393.59
311,10392,10724,15451.92
312,10432,10752,15510.27
313,10472,10800,15568.66
314,10512,10824,15627.07
315,10552,10852,15685.50
316,10592,10880,15743.97
317,10632,10916,15802.46
318,10672,10944,15860.98
319,10712,10976,15919.53
320,10752,11008,15978.10
321,10792,11272,16036.70
322,10832,11288,16095.33
323,10872,11308,16153.99
324,10912,11328,16212.67
325,10952,11356,16271.38
326,10992,11376,16330.11
327,11032,11400,16388.87
328,11072,11424,16447.66
329,11112,11468,16506.48
330,11152,11488,16565.32
331,11192,11512,16624.19
332,11232,11536,16683.08
333,11272,11568,16742.00
334,11312,11592,16800.94
335,11352,11620,16859.91
336,11392,11648,16918.91
337,11432,11724,16977.93
338,11472,11744,17036.98
339,11512,11768,17096.06
340,11552,11792,17155.16
341,11592,11824,17214.28
342,11632,11848,17273.43
343,11672,11876,17332.61
344,11712,11904,17391.81
345,11752,11952,17451.04
346,11792,11976,17510.29
347,11832,12004,17569.56
348,11872,12032,17628.87
349,11912,12068,17688.19
350,11952,12096,17747.54
351,11992,12128,17806.92
352,12032,12160,17866.32
353,12072,12300,17925.74
354,12112,12320,17985.19
355,12152,12344,18044.67
356,12192,12368,18104.17
357,12232,12400,18163.69
358,12272,12424,18223.24
359,12312,12452,18282.81
360,12352,12480,18342.40
361,12392,12528,18402.02
362,12432,12552,18461.67
363,12472,12580,18521.33
364,12512,12608,18581.02
365,12552,12644,18640.74
366,12592,12672,18700.48
367,12632,12704,18760.24
368,12672,12736,18820.02
369,12712,12816,18879.83
370,12752,12840,18939.67
371,12792,12868,18999.52
372,12832,12896,19059.40
373,12872,12932,19119.31
374,12912,12960,19179.23
375,12952,12992,19239.18
376,12992,13024,19299.15
377,13032,13076,19359.15
378,13072,13104,19419.17
379,13112,13136,19479.21
380,13152,13168,19539.27
381,13192,13208,19599.36
382,13232,13240,19659.47
383,13272,13276,19719.60
384,13312,13312,19779.75
385,13352,13832,19839.93
386,13392,13848,19900.13
