op,costCon,avgCon,costUnion,avgUnion
423,6,3.225,0,3.991
424,8,3.236,9,4.002
425,8,3.247,9,4.014
426,10,3.263,11,4.031
427,6,3.269,7,4.037
428,6,3.276,7,4.044
429,8,3.287,9,4.056
430,2,3.284,3,4.053
431,6,3.290,7,4.060
432,8,3.301,9,4.072
433,2,3.298,3,4.069
434,4,3.300,5,4.071
435,4,3.301,5,4.074
436,6,3.307,7,4.080
437,4,3.309,5,4.082
438,6,3.315,7,4.089
439,2,3.312,3,4.087
440,14,3.336,0,4.077
441,6,3.342,7,4.084
442,2,3.339,3,4.081
443,6,3.345,7,4.088
444,2,3.342,3,4.086
445,4,3.344,5,4.088
446,6,3.350,0,4.078
447,6,3.356,7,4.085
448,4,3.357,5,4.087
449,4,3.359,5,4.089
450,4,3.360,5,4.091
451,8,3.370,0,4.082
452,8,3.381,9,4.093
453,4,3.382,5,4.095
454,2,3.379,3,4.093
455,6,3.385,7,4.099
456,6,3.390,7,4.105
457,12,3.409,13,4.125
458,8,3.419,0,4.116
459,6,3.425,7,4.122
460,8,3.435,9,4.133
461,6,3.440,7,4.139
462,8,3.450,0,4.130
463,4,3.451,5,4.132
464,4,3.453,5,4.134
465,4,3.454,5,4.135
466,10,3.468,0,4.127
467,8,3.478,9,4.137
468,4,3.479,5,4.139
469,6,3.484,7,4.145
470,4,3.485,5,4.147
471,4,3.486,0,4.138
472,2,3.483,3,4.136
473,4,3.484,5,4.137
474,2,3.481,3,4.135
475,8,3.491,9,4.145
476,4,3.492,5,4.147
477,8,3.501,9,4.157
478,6,3.506,7,4.163
479,4,3.507,5,4.165
480,6,3.513,7,4.171
481,4,3.514,5,4.173
482,2,3.510,3,4.170
483,6,3.516,7,4.176
484,8,3.525,9,4.186
485,6,3.530,0,4.177
486,12,3.547,0,4.169
487,8,3.556,9,4.179
488,2,3.553,3,4.176
489,2,3.550,3,4.174
490,4,3.551,5,4.176
491,10,3.564,0,4.167
492,2,3.561,3,4.165
493,6,3.566,7,4.170
494,8,3.575,9,4.180
495,2,3.572,3,4.178
496,8,3.581,9,4.188
497,4,3.581,5,4.189
498,4,3.582,5,4.191
499,8,3.591,0,4.182
500,2,3.588,3,4.180
501,8,3.597,9,4.190
502,10,3.610,11,4.203
503,4,3.610,5,4.205
504,2,3.607,3,4.202
505,8,3.616,9,4.212
506,8,3.625,9,4.221
507,8,3.633,0,4.213
508,4,3.634,5,4.215
509,4,3.635,5,4.216
510,10,3.647,11,4.229
511,8,3.656,9,4.239
512,12,3.672,0,4.230
513,6,3.676,7,4.236
514,6,3.681,7,4.241
515,6,3.685,7,4.247
516,8,3.694,0,4.238
517,10,3.706,11,4.251
518,10,3.718,0,4.243
519,2,3.715,3,4.241
520,4,3.715,5,4.242
521,8,3.724,9,4.251
522,2,3.720,3,4.249
523,4,3.721,5,4.250
524,2,3.718,3,4.248
525,2,3.714,3,4.246
526,8,3.722,9,4.255
527,12,3.738,0,4.247
528,2,3.735,3,4.244
529,4,3.735,5,4.246
530,8,3.743,0,4.238
531,4,3.744,5,4.239
532,10,3.756,11,4.252
533,2,3.752,3,4.250
534,6,3.757,7,4.255
535,6,3.761,7,4.260
536,4,3.761,5,4.261
537,8,3.769,9,4.270
538,6,3.773,7,4.275
539,4,3.774,5,4.276
540,10,3.785,11,4.289
541,20,3.815,0,4.281
542,8,3.823,0,4.273
543,8,3.831,9,4.282
544,12,3.846,0,4.274
545,8,3.853,0,4.266
546,8,3.861,9,4.275
547,10,3.872,0,4.267
548,4,3.872,5,4.268
549,6,3.876,7,4.273
550,4,3.876,5,4.275
551,12,3.891,13,4.290
552,6,3.895,7,4.295
553,10,3.906,11,4.307
554,4,3.906,5,4.309
555,14,3.924,15,4.328
556,10,3.935,11,4.340
557,8,3.943,9,4.348
558,10,3.953,11,4.360
559,16,3.975,0,4.352
560,16,3.996,0,4.345
561,4,3.996,5,4.346
562,10,4.007,0,4.338
563,16,4.028,0,4.330
564,10,4.039,11,4.342
565,10,4.050,0,4.335
566,8,4.057,0,4.327
567,2,4.053,3,4.325
568,12,4.067,0,4.317
569,6,4.070,7,4.322
570,14,4.088,0,4.314
571,12,4.102,0,4.306
572,18,4.126,0,4.299
573,6,4.129,7,4.304
574,12,4.143,0,4.296
575,4,4.143,5,4.297
576,8,4.149,9,4.306
577,8,4.156,9,4.314
578,10,4.166,0,4.306
579,4,4.166,5,4.307
580,12,4.179,0,4.300
581,10,4.189,11,4.312
582,6,4.192,7,4.316
583,16,4.213,0,4.309
584,2,4.209,3,4.307
585,10,4.219,0,4.299
586,10,4.229,0,4.292
587,16,4.249,0,4.284
588,10,4.259,11,4.296
589,2,4.255,3,4.294
590,6,4.258,7,4.298
591,4,4.257,5,4.299
592,10,4.267,11,4.311
593,6,4.270,7,4.315
594,12,4.283,0,4.308
595,12,4.296,13,4.323
596,8,4.302,9,4.331
597,2,4.298,3,4.328
598,10,4.308,0,4.321
599,6,4.311,7,4.326
600,12,4.323,0,4.318
601,10,4.333,11,4.329
602,10,4.342,0,4.322
603,12,4.355,0,4.315
604,8,4.361,9,4.323
605,12,4.374,0,4.316
606,10,4.383,11,4.327
607,16,4.402,0,4.320
608,10,4.411,11,4.331
609,12,4.424,0,4.323
610,4,4.423,5,4.325
611,8,4.429,9,4.332
612,8,4.435,9,4.340
613,10,4.444,11,4.351
614,14,4.459,0,4.344
615,12,4.472,0,4.337
616,4,4.471,5,4.338
617,10,4.480,0,4.331
618,6,4.482,7,4.335
619,4,4.481,5,4.336
620,6,4.484,7,4.340
621,16,4.502,0,4.333
622,12,4.514,0,4.326
623,4,4.514,5,4.327
624,20,4.538,0,4.321
625,8,4.544,9,4.328
626,12,4.556,0,4.321
627,12,4.568,0,4.314
628,18,4.589,0,4.307
629,10,4.598,0,4.300
630,12,4.610,0,4.294
631,12,4.621,0,4.287
632,4,4.620,5,4.288
633,10,4.629,11,4.299
634,8,4.634,9,4.306
635,4,4.633,5,4.307
636,4,4.632,5,4.308
637,14,4.647,0,4.301
638,14,4.661,15,4.318
639,22,4.689,0,4.311
640,6,4.691,7,4.316
641,18,4.711,0,4.309
642,12,4.723,13,4.322
643,24,4.753,0,4.316
644,26,4.786,0,4.309
645,24,4.816,0,4.302
646,16,4.833,17,4.322
647,8,4.838,0,4.315
648,16,4.855,17,4.335
649,16,4.872,0,4.328
650,18,4.892,19,4.351
651,4,4.891,5,4.352
652,30,4.929,0,4.345
653,18,4.949,19,4.368
654,18,4.969,19,4.390
655,30,5.008,0,4.383
656,4,5.006,5,4.384
657,34,5.050,0,4.377
658,14,5.064,15,4.394
659,30,5.102,0,4.387
660,8,5.106,9,4.394
661,36,5.153,0,4.387
662,22,5.178,0,4.381
663,30,5.216,0,4.374
664,6,5.217,0,4.367
665,32,5.257,0,4.361
666,32,5.297,0,4.354
667,28,5.331,0,4.348
668,8,5.335,9,4.355
669,18,5.354,19,4.377
670,18,5.373,0,4.370
671,22,5.398,23,4.398
672,10,5.405,11,4.408
673,6,5.406,7,4.412
674,6,5.407,0,4.405
675,38,5.455,0,4.399
676,22,5.479,23,4.426
677,30,5.516,0,4.419
678,24,5.543,0,4.413
679,8,5.546,9,4.420
680,36,5.591,0,4.413
681,34,5.633,0,4.407
682,32,5.672,0,4.400
683,36,5.716,0,4.394
684,26,5.746,0,4.387
685,4,5.743,5,4.388
686,20,5.764,0,4.382
687,8,5.767,9,4.389
688,2,5.762,3,4.387
689,12,5.771,0,4.380
690,28,5.803,0,4.374
691,32,5.841,0,4.368
692,6,5.841,0,4.361
693,32,5.879,0,4.355
694,18,5.896,19,4.376
695,30,5.931,0,4.370
696,26,5.960,0,4.364
697,34,6.000,0,4.357
