op,costCon,avgCon,costUnion,avgUnion
767,2,2.000,1223,521.876
768,2,2.000,0,521.197
769,2,2.000,0,520.519
770,2,2.000,0,519.843
771,2,2.000,0,519.169
772,2,2.000,0,518.496
773,2,2.000,0,517.825
774,2,2.000,0,517.156
775,2,2.000,0,516.489
776,2,2.000,0,515.823
777,2,2.000,0,515.160
778,2,2.000,0,514.497
779,2,2.000,0,513.837
780,2,2.000,0,513.178
781,2,2.000,0,512.521
782,2,2.000,0,511.866
783,2,2.000,0,511.212
784,2,2.000,0,510.560
785,2,2.000,0,509.910
786,2,2.000,0,509.261
787,2,2.000,0,508.614
788,2,2.000,627,508.764
789,2,2.000,0,508.119
790,2,2.000,0,507.476
791,2,2.000,0,506.834
792,2,2.000,1226,507.742
793,2,2.000,0,507.102
794,2,2.000,0,506.463
795,2,2.000,0,505.826
796,2,2.000,0,505.191
797,2,2.000,0,504.557
798,2,2.000,1227,505.462
799,2,2.000,1228,506.367
800,2,2.000,0,505.734
801,2,2.000,627,505.885
802,2,2.000,0,505.254
803,2,2.000,0,504.625
804,2,2.000,0,503.998
805,2,2.000,0,503.371
806,2,2.000,0,502.747
807,2,2.000,0,502.124
808,2,2.000,0,501.502
809,2,2.000,0,500.883
810,2,2.000,0,500.264
811,2,2.000,626,500.419
812,2,2.000,0,499.803
813,2,2.000,0,499.188
814,2,2.000,0,498.575
815,2,2.000,0,497.963
816,2,2.000,0,497.353
817,2,2.000,0,496.744
818,2,2.000,0,496.137
819,2,2.000,0,495.531
820,2,2.000,626,495.690
821,2,2.000,0,495.086
822,2,2.000,0,494.484
823,2,2.000,1232,495.380
824,2,2.000,0,494.779
825,2,2.000,0,494.179
826,2,2.000,0,493.581
827,2,2.000,0,492.984
828,2,2.000,627,493.146
829,2,2.000,0,492.551
830,2,2.000,0,491.958
831,2,2.000,626,492.119
832,2,2.000,0,491.528
833,2,2.000,0,490.938
834,2,2.000,0,490.349
835,2,2.000,1237,491.243
836,2,2.000,0,490.656
837,2,2.000,626,490.817
838,2,2.000,0,490.232
839,2,2.000,0,489.647
840,2,2.000,0,489.064
841,2,2.000,0,488.483
842,2,2.000,0,487.903
843,2,2.000,0,487.324
844,2,2.000,0,486.746
845,2,2.000,0,486.170
846,2,2.000,0,485.596
847,2,2.000,0,485.022
848,2,2.000,0,484.450
849,2,2.000,0,483.880
850,2,2.000,0,483.311
851,2,2.000,0,482.743
852,2,2.000,0,482.176
853,2,2.000,0,481.611
854,2,2.000,0,481.047
855,2,2.000,626,481.216
856,2,2.000,0,480.654
857,2,2.000,0,480.093
858,2,2.000,0,479.534
859,2,2.000,0,478.976
860,2,2.000,0,478.419
861,2,2.000,0,477.863
862,2,2.000,0,477.309
863,2,2.000,0,476.756
864,2,2.000,0,476.204
865,2,2.000,0,475.653
866,2,2.000,0,475.104
867,2,2.000,0,474.556
868,2,2.000,0,474.009
869,2,2.000,0,473.464
870,2,2.000,0,472.920
871,2,2.000,0,472.377
872,2,2.000,0,471.835
873,2,2.000,0,471.294
874,2,2.000,0,470.755
875,2,2.000,0,470.217
876,2,2.000,0,469.680
877,2,2.000,0,469.145
878,2,2.000,627,469.325
879,2,2.000,0,468.791
880,2,2.000,0,468.258
881,2,2.000,0,467.726
882,2,2.000,0,467.196
883,2,2.000,0,466.667
884,2,2.000,0,466.139
885,2,2.000,0,465.612
886,2,2.000,0,465.087
887,2,2.000,0,464.563
888,2,2.000,0,464.039
889,2,2.000,0,463.517
890,2,2.000,0,462.997
891,2,2.000,0,462.477
892,2,2.000,0,461.959
893,2,2.000,0,461.441
894,2,2.000,0,460.925
895,2,2.000,0,460.410
896,2,2.000,0,459.896
897,2,2.000,0,459.384
898,2,2.000,0,458.872
899,2,2.000,0,458.362
900,2,2.000,0,457.852
